,Institute,Sci_topic,Author,Year,Conf_level,Material,M_Type,MatGroupFKM,Batch,Manufacturer,Prod_Proc,Furn_capa,Deoxid_proc,Ingot_size,Red_ratio,HProc,Form,DorTh,Length,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Al,V,Nb,N_,Ti,Ca,O,dA,dB,dC,dD,DS,Exp_n,Exp_b,DefType,Proc_name,Microstruct,Tstart,Tend,Vcf,NTemp,Ntime,CTemp,Ctime,THTemp,THtime,THQCr,QmTemp,THTemp2,THtime2,THQCr2,QmTemp2,TTemp,Ttime,TCr,Gm,Gstd,Texture,GrainRatio,Poros,Geometry_type,CS_form,CS_surface,QS_LD,Re_U,Re_U_dev,Rp02,Rp02_dev,Rm,Rm_dev,R_true_fracture,Rtf_dev,AG,AG_dev,A5,A5_dev,Z,Z_dev,A_KerbSchlag,A_KS_dev,HV20,HV20_dev,HardProc,t_eff,t_eff_dev,HV20_core,HV20_core_dev,Rp02_base,Rm_base,AG_base,A5_base,Z_base,Deff,Kt,G0,G0_r,G0_d,A90_Mises,V90_Mises,Kp,Rz,Finish,Finish_speci,SpecF,LD,Prstrain,RS_depth,RS_I,RSII,Sa,N,outcome,fail_loc,defect_type,R_ratio,Nu,Control,Machine,f_test,L_Type,Sd,Sd_unc,k,k_unc,NE,NE_unc,1Ts,1Ts_unc,method,n_spec,n_lvls_frac,n_lvls_inf,Nu_cur,Sa_min,Nm_Sa_min
DaBef201,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,4,1.05,0.0,0,0,,,,,,,cylinder,0,0,,,,"[675.0, 600.0, 600.0, 600.0, 600.0, 530.0, 530.0, 530.0, 530.0, 470.0, 470.0, 452.0, 444.0, 444.0, 436.0, 436.0, 428.0, 420.0]","[2000, 8300, 6100, 10900, 4800, 61400, 103700, 23700, 37200, 624900, 570000, 126700, 2000000, 1277800, 2000000, 2000000, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,447.09,21.065,15.099,5.99,676838.0,436511.0,1.106,0.032,4 params,18.0,6.0,4.0,2000000.0,,
DaBef202,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,36,2.53,0.575,0.575,0,,,,7.0,,,cylinder,0,0,,,,"[370.0, 370.0, 370.0, 370.0, 370.0, 370.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0, 194.0, 194.0, 194.0, 194.0, 194.0, 186.0, 186.0, 186.0, 186.0, 186.0, 186.0, 186.0, 186.0, 178.0, 178.0, 178.0, 178.0, 178.0, 170.0, 170.0, 170.0]","[5500, 5100, 4500, 5000, 5000, 6300, 32400, 31100, 29600, 30500, 32800, 32400, 117500, 117500, 127000, 115300, 175500, 110500, 531000, 1877000, 199700, 1996000, 186600, 2000000, 2000000, 2000000, 2000000, 2000000, 341300, 2000000, 2000000, 2000000, 2000000, 2000000, 308000, 392200, 2000000, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,3.0,188.33,7.276,6.554,2.126,438559.0,261728.0,1.232,0.027,4 params,39.0,6.0,3.0,2000000.0,,
DaBef203,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,14.2,3.48,1.15,1.15,0,,,,,,,cylinder,0,0,,,,"[370.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 154.0, 146.0, 146.0, 146.0, 146.0, 146.0, 146.0, 146.0, 146.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 130.0, 130.0, 130.0, 122.0]","[2100, 7800, 8000, 8100, 6700, 7500, 7100, 29900, 28500, 24800, 24000, 20100, 23100, 111100, 180000, 80700, 148700, 130100, 173300, 235100, 235100, 419600, 332200, 330700, 328800, 2000000, 294500, 263800, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 282800, 531400, 2000000, 2000000, 739500, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'failure', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,3.0,139.38,5.083,5.598,2.093,389577.0,240264.0,1.109,0.023,4 params,40.0,8.0,4.0,2000000.0,,
DaBef204,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,18,4.65,2.3,2.3,0,,,,,,,cylinder,0,0,,,,"[220.0, 220.0, 220.0, 220.0, 170.0, 170.0, 170.0, 170.0, 130.0, 130.0, 130.0, 130.0, 108.0, 108.0, 108.0, 108.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 92.0, 92.0, 92.0]","[10200, 9900, 9500, 9700, 32000, 34200, 28200, 33300, 101900, 96300, 85900, 92400, 407100, 748400, 384600, 313400, 2000000, 2000000, 2000000, 2000000, 483800, 381600, 261800, 2000000, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,3.0,100.49,3.746,4.934,1.544,435249.0,253022.0,1.156,0.03,4 params,26.0,5.0,2.0,2000000.0,,
DaBef205,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,36,2.53,0.575,0.575,0,,,,7.0,,,cylinder,0,0,,,,"[370.0, 370.0, 370.0, 370.0, 370.0, 370.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0, 212.0, 212.0, 212.0, 212.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 196.0, 196.0, 196.0, 196.0, 188.0, 188.0, 180.0]","[10200, 11800, 12000, 12100, 14000, 15300, 50900, 57700, 60400, 75900, 83400, 85000, 232400, 369200, 411900, 423900, 615000, 931300, 524300, 542300, 718900, 856500, 557300, 891000, 1091000, 2000000, 2000000, 2000000, 2000000, 755000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,202.75,7.015,7.003,2.256,802484.0,458316.0,1.105,0.024,4 params,36.0,6.0,4.0,2000000.0,,
DaBef206,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,14.2,3.48,1.15,1.15,0,,,,,,,cylinder,0,0,,,,"[370.0, 370.0, 370.0, 370.0, 370.0, 370.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0, 180.0, 180.0, 172.0, 172.0, 172.0, 172.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 156.0, 156.0, 156.0, 156.0, 156.0, 156.0, 148.0, 148.0]","[6200, 6300, 5800, 5500, 6000, 6800, 25700, 20100, 23800, 20100, 22100, 20900, 90000, 72600, 74700, 72000, 111000, 110500, 297000, 315000, 2000000, 487000, 256800, 478800, 2000000, 2000000, 458700, 467400, 1195300, 523000, 597000, 2000000, 2000000, 2000000, 2000000, 1212600, 890800, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,161.0,6.03,5.692,2.217,613664.0,386462.0,1.123,0.023,4 params,39.0,7.0,4.0,2000000.0,,
DaBef207,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,840.0,,910.0,,,,,,17.4,,,,,,,,,,,,,,,,,,18,4.65,2.3,2.3,0,,,,,,,cylinder,0,0,,,,"[285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 170.0, 170.0, 170.0, 170.0, 130.0, 122.0, 122.0, 122.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 106.0, 106.0, 106.0, 106.0]","[14100, 15800, 16100, 16600, 44900, 46300, 46700, 64300, 125800, 102400, 116000, 116700, 510300, 1153400, 844800, 483700, 2000000, 2000000, 693600, 1090100, 648200, 866500, 2000000, 2000000, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,112.44,4.29,4.413,1.521,903487.0,544499.0,1.138,0.028,4 params,26.0,6.0,2.0,2000000.0,,
DaBef21,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.28,0.71,0.03,0.03,0.0,1.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,30.0,450.0,30.0,,,,,560.0,90.0,0.054000000000000006,,,,,,A5-standard specimen,Cylindric,50.25,0,,,1000.0,,1100.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,2.19,1.613,1.533,0.08,,,,2.5,,,cylinder,0,0,,,,"[230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 230.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 430.0, 430.0, 430.0, 430.0, 430.0, 430.0, 430.0, 430.0, 430.0, 430.0]","[879000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 3859000, 1082000, 1223000, 2663000, 2663000, 2663000, 2663000, 2663000, 2663000, 2663000, 2663000, 232700, 250900, 266400, 324500, 335600, 442700, 138500, 145600, 150000, 151200, 153100, 155400, 177800, 190900, 205900, 214800, 42500, 43900, 47200, 48200, 48800, 49300, 50300, 51100, 51600, 52700]","['failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2663000.0,Force,,20.0,1.0,253.93,13.147,5.202,2.016,795743.0,519251.0,1.111,0.032,4 params,49.0,5.0,2.0,2663000.0,,
DaBef214,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,819.0,,881.0,,,,,,17.4,,,,,,,,,,,,,,,,,,4,1.05,0.0,0,0,,,,,,,cylinder,0,0,,,,"[420.0, 420.0, 420.0, 370.0, 370.0, 370.0, 370.0, 320.0, 320.0, 320.0, 320.0]","[10900, 17000, 14700, 68800, 96000, 51300, 35600, 246600, 494600, 934600, 723400]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",0.0,10000000.0,Force,,20.0,3.0,,,13.559695140237253,4.353,,,1.0798269618966065,0.041,4 params,11.0,3.0,0.0,10000000.0,320.0,535874
DaBef215,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,819.0,,881.0,,,,,,17.4,,,,,,,,,,,,,,,,,,4,1.05,0.0,0,0,,,,,,,cylinder,0,0,,,,"[600.0, 600.0, 600.0, 530.0, 530.0, 530.0, 530.0, 470.0, 470.0, 470.0, 470.0]","[4800, 5800, 2600, 86900, 44100, 43500, 38600, 349400, 279600, 123400, 161000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",-1.0,10000000.0,Force,,20.0,3.0,,,15.85757997252053,5.377,,,1.0729726513417521,0.047,4 params,11.0,3.0,0.0,10000000.0,470.0,209894
DaBef216,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,819.0,,881.0,,,,,,17.4,,,,,,,,,,,,,,,,,,14.2,3.48,1.15,1.15,0,,,,,,,cylinder,0,0,,,,"[285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0]","[6700, 6800, 5900, 5800, 6900, 6700, 33900, 27000, 16200, 16900, 20800, 21800, 180100, 205900, 93500, 131700, 139000, 139900]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,10000000.0,Force,,20.0,3.0,,,6.008353953617068,1.743,,,1.118001351966889,0.037,4 params,18.0,3.0,0.0,10000000.0,170.0,143902
DaBef217,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,820.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,819.0,,881.0,,,,,,17.4,,,,,,,,,,,,,,,,,,14.2,3.48,1.15,1.15,0,,,,,,,cylinder,0,0,,,,"[370.0, 370.0, 370.0, 370.0, 370.0, 370.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 220.0, 220.0, 220.0, 220.0, 220.0, 220.0]","[5500, 5200, 5400, 4600, 5600, 5900, 18900, 27900, 14700, 15900, 19400, 15100, 102500, 105600, 64700, 61500, 79400, 83900]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,10000000.0,Force,,20.0,3.0,,,5.230899013137963,1.375,,,1.0981853172053941,0.035,4 params,18.0,3.0,0.0,10000000.0,220.0,81213
DaBef218,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,850.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,1029.0,,1097.0,,,,,,13.0,,,,,,,,,,,,,,,,,,4,1.05,0.0,0,0,,,,,,,cylinder,0,0,,,,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 475.0, 475.0, 475.0, 475.0, 475.0, 475.0, 475.0, 414.0, 414.0, 398.0, 398.0, 398.0, 382.0, 382.0, 382.0, 366.0, 366.0, 366.0, 366.0, 366.0, 366.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 334.0, 334.0]","[21600, 12200, 24000, 23200, 29300, 37300, 86600, 69800, 38500, 95700, 40000, 73700, 53800, 249700, 290000, 2000000, 2000000, 469800, 2000000, 170500, 182200, 2000000, 2000000, 2000000, 307100, 781300, 128400, 2000000, 2000000, 2000000, 2000000, 436900, 741300, 2000000, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'failure', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,3.0,372.56,13.743,7.784,1.816,332337.0,184683.0,1.204,0.038,4 params,35.0,7.0,5.0,2000000.0,,
DaBef219,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.31,0.75,0.02,0.03,0.0,1.15,0.22,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,850.0,30.0,200.0,30.0,,,,,560.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,1029.0,,1097.0,,,,,,13.0,,,,,,,,,,,,,,,,,,4,1.05,0.0,0,0,,,,,,,cylinder,0,0,,,,"[750.0, 750.0, 750.0, 750.0, 750.0, 750.0, 675.0, 675.0, 675.0, 675.0, 675.0, 675.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 532.0, 532.0, 532.0, 516.0, 516.0, 516.0, 516.0, 516.0, 516.0, 516.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 484.0, 484.0, 484.0, 468.0]","[6100, 5800, 5400, 6300, 3900, 5200, 26900, 19700, 29700, 28900, 27700, 27100, 69700, 90300, 57800, 72200, 73700, 50700, 1240900, 713500, 1328500, 2000000, 2000000, 2000000, 242600, 847400, 1359000, 2000000, 2000000, 2000000, 2000000, 2000000, 653000, 424500, 2000000, 2000000, 865100, 2000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'failure', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,509.5,20.176,12.459,4.455,725023.0,451280.0,1.111,0.023,4 params,38.0,7.0,4.0,2000000.0,,
DaBef22,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.43,0.28,0.71,0.03,0.03,0.0,1.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,30.0,450.0,30.0,,,,,560.0,90.0,0.054000000000000006,,,,,,A5-standard specimen,Cylindric,50.25,0,,,1000.0,,1100.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,1.49,0.54,0.46,0.08,,,,2.5,,,cylinder,0,0,,,,"[350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 410.0, 532.0, 532.0, 532.0, 532.0, 532.0, 532.0, 532.0, 532.0, 532.0, 532.0, 700.0, 700.0, 700.0, 700.0, 700.0, 700.0, 700.0, 700.0, 700.0, 700.0]","[2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 116000, 181000, 231000, 284000, 299000, 321000, 337000, 352000, 354000, 354000, 412000, 429000, 455000, 474000, 485000, 497000, 538000, 660000, 832000, 1192000, 32900, 33500, 37800, 38700, 38800, 39900, 42000, 43100, 45300, 49700, 10500, 10800, 10800, 11200, 11300, 11600, 11900, 12000, 12300, 14000]","['runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2200000.0,Force,,20.0,1.0,373.76,9.595,6.826,2.171,668677.0,353448.0,1.163,0.021,4 params,50.0,3.0,1.0,2200000.0,,
